,dong
0,종로구 부암동
1,종로구 평창동
2,종로구 무악동
3,종로구 가회동
4,종로구 창신1동
5,종로구 창신2동
6,종로구 창신3동
7,종로구 청운효자동
8,중구 필동
9,중구 신당5동
10,중구 중림동
11,중구 다산동
12,중구 청구동
13,중구 동화동
14,용산구 용산2가동
15,용산구 남영동
16,용산구 용문동
17,용산구 이촌2동
18,용산구 이태원1동
19,성동구 금호1가동
20,성동구 성수2가1동
21,성동구 용답동
22,광진구 중곡3동
23,광진구 중곡4동
24,광진구 자양4동
25,동대문구 청량리동
26,동대문구 제기동
27,동대문구 전농2동
28,동대문구 답십리2동
29,동대문구 이문2동
30,중랑구 면목2동
31,중랑구 면목4동
32,중랑구 면목7동
33,중랑구 중화2동
34,중랑구 묵1동
35,중랑구 망우3동
36,중랑구 신내1동
37,중랑구 면목본동
38,중랑구 망우본동
39,성북구 돈암1동
40,성북구 정릉1동
41,성북구 정릉3동
42,성북구 정릉4동
43,성북구 성북동
44,성북구 석관동
45,강북구 번1동
46,강북구 수유1동
47,강북구 미아동
48,강북구 우이동
49,강북구 인수동
50,도봉구 쌍문1동
51,도봉구 방학2동
52,도봉구 방학3동
53,도봉구 창1동
54,도봉구 창2동
55,도봉구 창3동
56,도봉구 도봉1동
57,노원구 월계1동
58,노원구 월계2동
59,노원구 중계4동
60,노원구 상계1동
61,노원구 상계5동
62,노원구 상계3.4동
63,은평구 녹번동
64,은평구 불광1동
65,은평구 갈현1동
66,은평구 구산동
67,은평구 신사1동
68,은평구 신사2동
69,은평구 증산동
70,은평구 역촌동
71,서대문구 천연동
72,서대문구 홍제3동
73,서대문구 홍제2동
74,서대문구 홍은1동
75,서대문구 홍은2동
76,양천구 신월1동
77,양천구 신월4동
78,양천구 신월7동
79,양천구 신정7동
80,양천구 신정4동
81,강서구 화곡3동
82,강서구 화곡8동
83,강서구 방화2동
84,강서구 방화3동
85,구로구 고척2동
86,구로구 개봉2동
87,구로구 개봉3동
88,구로구 수궁동
89,구로구 구로2동
90,구로구 개봉1동
91,구로구 오류2동
92,금천구 독산2동
93,금천구 시흥2동
94,금천구 시흥3동
95,금천구 시흥4동
96,금천구 시흥5동
97,영등포구 신길1동
98,영등포구 신길3동
99,영등포구 신길4동
100,영등포구 대림1동
101,영등포구 대림3동
102,영등포구 영등포본동
103,영등포구 도림동
104,동작구 노량진2동
105,동작구 상도3동
106,동작구 상도4동
107,동작구 사당3동
108,동작구 사당4동
109,동작구 흑석동
110,동작구 사당2동
111,관악구 보라매동
112,관악구 청림동
113,관악구 신원동
114,관악구 난향동
115,관악구 난곡동
116,관악구 삼성동
117,서초구 방배1동
118,서초구 방배2동
119,서초구 방배3동
120,서초구 내곡동
121,강남구 신사동
122,강남구 개포1동
123,강남구 압구정동
124,송파구 거여2동
125,송파구 마천2동
126,송파구 잠실7동
127,강동구 천호1동
128,강동구 천호3동
129,강동구 성내2동
130,강동구 암사1동
131,강동구 길동
132,중랑구 면목3.8동
133,강서구 가양3동
134,영등포구 여의동
135,동작구 노량진1동
136,강동구 둔촌1동
137,종로구 숭인2동
138,용산구 이촌1동
139,용산구 한남동
140,성동구 응봉동
141,성동구 금호4가동
142,성동구 송정동
143,성북구 장위1동
144,노원구 하계1동
145,노원구 상계9동
146,은평구 불광2동
147,서대문구 연희동
148,마포구 망원1동
149,마포구 망원2동
150,금천구 독산3동
151,영등포구 신길6동
152,강남구 수서동
153,송파구 잠실3동
154,강동구 둔촌2동
155,강동구 강일동
