구,행정동,0
강남구,대치4동,1
강남구,도곡1동,1
강남구,역삼1동,1
강남구,일원본동,1
강동구,길동,1
강동구,둔촌제2동,1
강동구,상일제1동,1
강북구,미아동,1
강북구,번1동,1
강북구,인수동,1
강서구,공항동,1
강서구,등촌제3동,1
강서구,발산제1동,2
관악구,서원동,1
관악구,조원동,1
관악구,행운동,1
광진구,자양제1동,1
광진구,화양동,1
구로구,고척제1동,1
구로구,구로제2동,1
금천구,시흥제1동,1
노원구,공릉2동,1
노원구,하계1동,1
도봉구,쌍문제3동,1
동대문구,청량리동,1
동대문구,회기동,1
동대문구,휘경제2동,1
동작구,신대방제2동,1
동작구,흑석동,1
마포구,신수동,1
서대문구,신촌동,1
서대문구,홍은제2동,1
서초구,반포4동,1
성동구,사근동,1
성북구,안암동,1
송파구,가락본동,1
송파구,풍납2동,1
양천구,목5동,1
양천구,신월5동,1
양천구,신정4동,1
영등포구,당산제1동,1
영등포구,대림제1동,2
영등포구,대림제2동,1
영등포구,신길제1동,1
영등포구,양평제1동,1
영등포구,여의동,1
영등포구,영등포동,2
용산구,한남동,1
은평구,갈현제1동,1
은평구,갈현제2동,1
은평구,진관동,1
종로구,교남동,1
종로구,무악동,1
종로구,이화동,1
중구,광희동,1
중구,을지로동,1
중랑구,망우본동,1
중랑구,면목제3.8동,1
중랑구,신내1동,1
